university_name,year,world_rank,country,national_rank,quality_of_education,citations,patents,score,award,pub,teaching,international,research,num_students,student_staff_ratio
Indian Institute of Science,2015,448,India,3,367,511,239,44.96,0,36.8,32.6,18.2,39.5,3318,8.2
Lancaster University,2014,449,United Kingdom,38,355,250,637,45.33,0,29.3,34.8,81.2,32.6,11512,14.9
Macquarie University,2015,449,Australia,9,367,321,530,44.96,0,33.6,24,89.2,24.8,27930,20
University of Warsaw,2015,462,Poland,2,118,428,716,44.91,0,29.9,20.8,41.6,13.6,49292,14.1
Syracuse University,2015,463,USA,150,138,428,392,44.91,0,25.2,32.4,41.2,24.4,19660,15.9
University College Cork,2014,463,Ireland,3,355,406,227,45.25,0,26,27.2,67.1,20.1,15805,22.3
Bielefeld University,2015,464,Germany,36,367,511,774,44.91,0,24.8,27.5,48.6,19.1,21428,67.8
University of Wollongong,2015,467,Australia,10,367,428,493,44.88,0,32,25.2,80.4,27.8,16489,25.4
University of Konstanz,2014,468,Germany,36,355,493,481,45.22,0,22.7,27,58.9,30.7,10930,59.1
Polytechnic University of Valencia,2014,474,Spain,13,355,609,204,45.21,0,33.4,20.9,28.2,13.1,33172,13.6
University of Wyoming,2014,485,USA,157,355,363,426,45.18,0,23.4,18.9,29.7,28.6,NA,NA
Macquarie University,2014,486,Australia,9,355,283,552,45.18,0,32.8,20.9,91.1,23.8,27930,20
University of Canterbury,2014,487,New Zealand,3,173,493,737,45.17,0,25.8,18.2,88,24.4,12187,16.5
University of Konstanz,2015,490,Germany,38,367,368,614,44.81,0,22.2,30.5,57,33.4,10930,59.1
Bielefeld University,2014,491,Germany,38,355,493,737,45.15,0,24.4,22.8,46.9,17.9,21428,67.8
University of Surrey,2014,499,United Kingdom,41,195,406,338,45.12,0,27.5,31.1,83.5,22.7,12063,16.6
"University of Maryland, Baltimore County",2014,505,USA,162,355,363,373,45.1,0,17.1,16.9,34.4,15,13908,18.1
University of Wollongong,2014,506,Australia,10,355,609,338,45.1,0,31.9,22.8,83.9,25.2,16489,25.4
University of Graz,2014,518,Austria,6,338,406,481,45.04,9.4,19.1,24.6,59.9,14.4,20584,26.8
Victoria University of Wellington,2014,527,New Zealand,4,296,609,637,45.01,0,25,19.7,82.9,27.7,17142,21.1
University of Bremen,2015,535,Germany,43,367,321,515,44.68,0,29.1,33.9,53,27.6,18590,25.6
University of Newcastle,2014,546,Australia,12,355,609,637,44.97,0,31.4,21.2,70.5,28.2,23508,21.9
University of Essex,2014,563,United Kingdom,44,106,406,737,44.92,0,20.1,30.6,82.4,30.5,12695,19.8
Aalborg University,2015,565,Denmark,5,367,287,401,44.59,0,30.4,23.8,65.8,28.5,17422,15.9
Deakin University,2015,579,Australia,14,367,321,636,44.56,0,35.4,20.1,71.8,20.6,32713,30.4
University of Graz,2015,584,Austria,7,349,812,600,44.54,9.4,19.9,23.7,64.8,17.3,20584,26.8
Aalborg University,2014,593,Denmark,5,355,363,426,44.83,0,27.6,20,70.8,24.5,17422,15.9
Carleton University,2015,593,Canada,23,367,264,871,44.53,0,26.8,24.3,61.1,24.5,25036,29.8
Curtin University,2015,595,Australia,15,367,511,518,44.52,0,37.1,20.1,91.3,17.1,30333,17.1
University of Tasmania,2014,608,Australia,15,355,609,737,44.8,0,27.6,18.7,69.9,16.7,18340,23.8
Deakin University,2014,613,Australia,17,355,609,637,44.79,0,34.1,16.6,73.4,18.7,32713,30.4
Tilburg University,2014,614,Netherlands,13,355,609,737,44.78,0,28.1,32,57.6,45.7,7576,22.4
Queensland University of Technology,2015,621,Australia,18,367,511,492,44.48,0,34.6,29.9,69.8,36,33391,35.8
Carleton University,2014,627,Canada,22,355,310,737,44.75,0,26.2,19.4,57.5,24.1,25036,29.8
University of Essex,2015,632,United Kingdom,48,119,511,871,44.45,0,20.7,31.6,86.7,29,12695,19.8
Swinburne University of Technology,2015,688,Australia,20,367,511,772,44.38,0,22.3,20.2,86.9,16.3,20314,36.5
Sharif University of Technology,2015,697,Iran,1,116,511,871,44.37,0,29.1,28.7,19.4,34.7,10977,18.7
Swinburne University of Technology,2014,737,Australia,21,355,493,737,44.6,0,21.4,17,68.5,19.4,20314,36.5
King Abdulaziz University,2014,992,Saudi Arabia,4,355,609,637,44.26,0,39,18.2,74.3,9.4,35889,8.4
