university_name,year,world_rank,country,national_rank,quality_of_education,citations,patents,score,award,pub,teaching,international,research,num_students,student_staff_ratio
"University of California, Davis",2012,45,USA,33,79,25,32,51.06,0,60.4,68,51.4,68.7,35364,13.9
University of North Carolina at Chapel Hill,2014,45,USA,28,179,22,38,57.51,16.3,61.1,57.6,35,55.3,26518,7.3
McGill University,2013,47,Canada,2,54,48,101,50.77,0,58.8,74.4,75.9,80.4,31326,13.7
"University of California, Irvine",2012,47,USA,35,101,52,65,50.64,30.2,46.4,36.2,36.3,42.3,26614,16.1
University of Arizona,2012,50,USA,37,101,45,27,50.29,0,49.3,45.1,28.4,43,36429,12.7
Carnegie Mellon University,2013,51,USA,35,30,74,101,49.56,31.8,34,71.8,51.4,87,11885,13.1
University of Southern California,2014,51,USA,32,148,61,33,55.7,31.7,52.3,58.7,43.4,43.2,36534,12.9
University of Southern California,2015,51,USA,34,152,101,34,55.12,31.7,53.2,55.2,42.7,44.6,36534,12.9
"University of California, Davis",2013,53,USA,37,60,31,90,49.16,0,58.6,67.9,51.7,71.6,35364,13.9
"University of California, Davis",2015,53,USA,36,54,35,62,54.85,0,58,54.4,52.9,59.7,35364,13.9
University of Rochester,2012,53,USA,39,41,54,62,49.51,7.9,41.5,47,45.7,33.5,9390,4.5
Boston University,2013,54,USA,38,101,41,100,48.96,11.6,50.8,65.4,39.2,50.9,24789,8.6
Carnegie Mellon University,2014,54,USA,35,25,52,170,55.3,31.6,34.4,63.1,58.1,77.4,11885,13.1
Peking University,2014,55,China,1,355,250,7,55.3,0,63.6,72.3,60.6,58.1,40148,8.3
University of Florida,2012,55,USA,40,101,42,2,48.8,0,60.4,46.7,25.9,59.9,50095,18.7
University of Florida,2013,55,USA,39,101,42,9,48.93,0,61,52,31.2,62.9,50095,18.7
Peking University,2015,56,China,1,182,182,20,54.26,0,64,70,53.7,61.9,40148,8.3
Tel Aviv University,2012,56,Israel,4,97,101,35,48.76,0,48.4,47.3,30.1,60.7,23977,24.4
University of Geneva,2013,56,Switzerland,2,52,101,101,48.83,28.4,37.7,36.2,95.3,42.5,15668,15
National Taiwan University,2015,57,Taiwan,1,92,182,695,54.23,0,55.5,48.8,27.5,57.3,31891,11.9
Rice University,2012,57,USA,41,28,53,101,48.76,22.4,30.6,45.9,39.7,38,6333,9
"University of California, Davis",2014,57,USA,36,47,38,68,55.18,0,59.3,55.5,53.7,56.4,35364,13.9
Dartmouth College,2012,58,USA,42,27,101,92,48.5,0,29,44.8,30.6,38.7,6178,6.6
University of British Columbia,2013,58,Canada,3,101,39,100,48.51,19,63.6,69.1,82.1,80.4,50152,17.6
University of Florida,2014,59,USA,38,212,52,8,54.76,0,60.4,48,30.9,49.9,50095,18.7
"University of Maryland, College Park",2013,59,USA,40,79,40,101,48.39,20.1,52.6,44.9,40.4,51.4,31331,8.4
Vanderbilt University,2012,59,USA,43,80,49,101,48.44,29.9,51,52.1,26.8,47.6,12161,3.6
Karolinska Institute,2013,60,Sweden,1,101,62,101,47.98,26.8,49.2,66.3,64.5,75.7,7774,11.5
"University of California, Santa Barbara",2014,60,USA,39,124,48,68,54.76,35.1,38.6,47.8,61.8,58.2,22020,27.3
University of Florida,2015,60,USA,38,214,46,5,54.18,0,58.7,49.8,32.2,52.1,50095,18.7
Carnegie Mellon University,2015,61,USA,39,25,78,165,54,31.6,34.3,61.6,59.3,74.9,11885,13.1
University of British Columbia,2014,61,Canada,3,85,36,78,54.75,18.8,63.9,59.9,84.2,67.9,50152,17.6
Vanderbilt University,2013,61,USA,41,101,60,40,47.8,29.2,50.9,51.5,27.5,40.9,12161,3.6
Boston University,2012,62,USA,44,101,37,101,48.31,11.9,51.2,60.7,37.2,46.2,24789,8.6
University of British Columbia,2015,62,Canada,3,81,37,81,53.92,18.8,63,60.5,84.8,69,50152,17.6
University of Utah,2014,62,USA,40,88,114,22,54.67,11.5,47.3,39.4,25.5,36.1,25674,16.9
"University of California, Santa Barbara",2015,64,USA,40,133,46,77,53.63,39.1,37.3,49.4,64.3,61.4,22020,27.3
University of Notre Dame,2014,64,USA,42,197,159,307,54.25,0,32.1,41.2,47.5,34.7,11829,13.8
National Taiwan University,2014,65,Taiwan,1,113,283,637,54.19,0,57.9,47.1,27.3,58.3,31891,11.9
National University of Singapore,2015,65,Singapore,1,367,78,25,53.44,0,59.5,72,94.9,78.1,31592,15.5
"University of California, Irvine",2013,65,USA,43,101,61,101,47.52,29.5,46.8,44,35.2,47.2,26614,16.1
University of Geneva,2012,65,Switzerland,2,46,101,101,47.94,29.1,37,34.9,97.5,39,15668,15
Boston University,2015,66,USA,41,303,37,135,53.43,11.5,49.5,56.4,47.8,46.7,24789,8.6
Brown University,2012,66,USA,46,49,92,101,47.91,13.7,42.9,59.8,33.4,53.6,8653,10.1
Boston University,2014,67,USA,44,291,43,227,53.96,11.5,50.3,56.5,44.2,46.1,24789,8.6
University of British Columbia,2012,67,Canada,3,101,48,101,47.74,19.4,64.2,68.6,88.7,78.6,50152,17.6
University of Arizona,2015,68,USA,42,139,31,235,53.26,0,48.4,44.9,38.8,51.4,36429,12.7
University of Copenhagen,2013,68,Denmark,1,101,51,101,47.12,19,60.2,42.2,73.5,40.4,27545,4.1
"University of Maryland, College Park",2012,68,USA,47,85,41,101,47.69,20.6,51.7,41.1,35.3,43.6,31331,8.4
Vanderbilt University,2015,69,USA,43,87,59,51,53.05,29,51,46,28.3,38.2,12161,3.6
Karolinska Institute,2012,70,Sweden,1,51,95,101,47.61,27.4,49.5,69.9,82,73.8,7774,11.5
University of Arizona,2014,70,USA,45,99,37,307,53.77,0,48.4,39.4,38,44.4,36429,12.7
University of Utah,2015,70,USA,44,97,101,19,52.89,11.5,46.7,38.8,27.5,36.5,25674,16.9
Karolinska Institute,2015,71,Sweden,1,149,52,743,52.79,26.6,50.8,57.1,60.6,68,7774,11.5
Vanderbilt University,2014,71,USA,46,108,52,51,53.69,29,51.5,46.8,28.6,38.7,12161,3.6
Tohoku University,2014,72,Japan,6,40,107,21,53.65,0,53.2,51.8,29.3,48.1,17200,5
"University of Maryland, College Park",2015,72,USA,45,68,39,280,52.72,20,52.7,36.5,44.8,39.1,31331,8.4
Karolinska Institute,2014,73,Sweden,1,126,38,737,53.64,26.6,51.8,58.1,73.2,67.7,7774,11.5
Tohoku University,2015,73,Japan,6,41,115,22,52.57,0,52.2,49.7,29.7,47.3,17200,5
Nagoya University,2012,74,Japan,4,56,101,46,46.89,14.6,44.7,45.5,21.2,39.2,15529,7.9
National University of Singapore,2014,74,Singapore,1,355,114,23,53.52,0,60.2,68,94.3,77.8,31592,15.5
University of Copenhagen,2015,74,Denmark,1,117,59,432,52.51,18.8,63.2,34,71.8,34.4,27545,4.1
University of Zurich,2013,74,Switzerland,3,101,52,101,46.54,24.2,50.9,50,84.1,41.6,26583,6.5
Seoul National University,2012,75,South Korea,1,101,69,4,46.74,0,66.4,64.6,16.3,50.8,26389,13.9
University of Geneva,2014,75,Switzerland,2,48,99,194,53.5,28.2,37.8,31.4,96.7,33.9,15668,15
"University of Maryland, College Park",2014,76,USA,47,63,38,338,53.46,20,52.5,39,42.4,37.2,31331,8.4
University of Rochester,2013,76,USA,47,63,66,51,46.44,7.7,41.8,46,45.9,37.8,9390,4.5
Brown University,2013,77,USA,48,59,96,101,46.43,13.4,42.6,63.7,36.9,60.3,8653,10.1
University of Notre Dame,2015,77,USA,47,221,182,352,52.27,0,31.8,43.3,51.4,38.5,11829,13.8
University of Rochester,2014,77,USA,48,60,69,76,53.06,7.7,40.7,42.8,50.7,29.9,9390,4.5
Case Western Reserve University,2012,78,USA,51,33,65,101,46.11,11.2,39.3,54.2,29.9,40.2,9259,6.4
Emory University,2014,78,USA,49,355,73,45,53.01,0,51.2,50.4,42.4,31.6,12338,4.5
Tsinghua University,2015,78,China,2,309,65,30,52.21,0,63.8,64.1,44.6,68.3,39763,13.7
University of Arizona,2013,78,USA,49,101,49,101,46.39,0,49,47,31.3,53.7,36429,12.7
Tohoku University,2012,79,Japan,5,53,67,29,45.82,0,55.1,57.7,25.6,55.7,17200,5
University of Copenhagen,2014,79,Denmark,1,111,61,481,52.94,18.8,61.1,33.9,76,32,27545,4.1
Georgia Institute of Technology,2015,80,USA,48,135,78,36,52.08,0,43.2,62.5,68.9,71.2,19967,20.1
"University of California, Irvine",2014,80,USA,50,217,48,138,52.93,29.3,46,37.1,36.4,40.8,26614,16.1
Brown University,2014,81,USA,51,56,55,170,52.92,13.3,43.6,55.4,37.7,52,8653,10.1
Emory University,2012,81,USA,53,101,50,46,45.47,0,49.4,48.4,37.3,39.8,12338,4.5
University of Oslo,2013,81,Norway,1,101,101,101,46.1,32.8,50.6,33.5,59,39.8,27139,18.8
University of Rochester,2015,81,USA,49,72,68,64,52.03,7.7,39,41.9,55.5,29.2,9390,4.5
Brown University,2015,83,USA,50,64,76,200,52.01,13.3,43.6,55.5,37,54.2,8653,10.1
Georgia Institute of Technology,2014,83,USA,52,123,79,24,52.74,0,43.9,59.4,67.8,68.6,19967,20.1
